Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
10.1.,"LONDON MOTH KILLER 10 (TEN) Premium Sticky Pheromone Moth Traps for the Common Clothes Moth and Similar Variants, for Wardrobes, Clothes and Carpets. inc. eBook (London Moth)",B0CGB12XNN,Physical Trap,https://www.amazon.co.uk/dp/B0CGB12XNN?psc=1,https://m.media-amazon.com/images/I/81JxQgFDuiL._AC_SY355_.jpg,Theo's Home Care,20.77,"9,589","6,288","5,000","170,077.63","112,872.12",174,41,GB,3.9,2,4.5,"3,122",6,"2,056",Theos Home Care Ltd,Garden,Large Envelope,FBA,14.60 x 3.90 x 12.00 cm,0.22,N/A,"Aug 22, 2023",,No,33,Theos Home Care Ltd
7.,Acana Hanging Moth Killer 4 Pack for Wardrobes - Max Performance - Kills in 24 to 48 Hours - Protects Clothing & Bedding,B0FTZBLZV3,Killer Spray,https://www.amazon.co.uk/dp/B0FTZBLZV3?psc=1,https://m.media-amazon.com/images/I/71+D2zJxKWL._AC_SY355_.jpg,Acana,14.15,"20,329","20,175","10,000","251,601.46","248,576.27",120,24,GB,3.37,15,4.3,"2,072",7,53,Astraza Limited,Garden,Standard Envelope,FBA,18.80 x 1.10 x 14.00 cm,0.05,#1,"Oct 6, 2025",,No,7,Astraza Limited
15.,"REPELEM 1L Moth Killer Spray - Fast Acting Moth Repellent & Insect Killer, Kills Moths at all Life Stages, Professional Strength Permethrin Spray, Large Clothes & Carpet Moth Treatment",B0CSH1Y43R,Killer Spray,https://www.amazon.co.uk/dp/B0CSH1Y43R?psc=1,https://m.media-amazon.com/images/I/71avpNbgp6L._SX342_.jpg,REPELEM,20.82,"3,405","3,111","2,000","58,079.75","49,870.74",184,275,GB,5.39,1,4.4,266,7,33,Mammoth E-commerce Ltd,Garden,Small Parcel,FBA,26.40 x 6.10 x 10.50 cm,1.06,#3,"Jan 16, 2024",,No,28,Mammoth E-commerce Ltd
34.,9-Pack Clothes Moth Killer Hangers for Wardrobes: Clothes Moth Killer | Contains Transfluthrin | Moth Protection for Wardrobes and Drawers | Up to 3 Months Protection per Hanger | Lavender-Scented,B09R52Z3H2,Killer Spray,https://www.amazon.co.uk/dp/B09R52Z3H2?psc=1,https://m.media-amazon.com/images/I/81+3p+GcIxL._AC_SY355_.jpg,Ready Steady Gro,23.13,"3,862","2,048","1,000","63,436.75","40,923.42",196,161,GB,3.4,1,4.2,"1,093",8,26,Ready Steady Defend UK,Garden,Extra Large Envelope,FBA,22.40 x 5.50 x 15.70 cm,0.1,N/A,"Feb 1, 2022",,No,51,Ready Steady Defend UK
8.,"Acana Moth Killer & Freshener, Lavender, 275ml - Spray Formula, Kills Moths, Eggs & Larvae - Licensed Insecticide - Non-staining - for Carpets, Curtains & Cushions",B08J43LS1S,Killer Spray,https://www.amazon.co.uk/dp/B08J43LS1S?psc=1,https://m.media-amazon.com/images/I/719yM50Y9lL._AC_SY355_.jpg,Acana,10.36,"4,974","4,518","3,000","44,577.24","40,338.72",163,74,GB,3.47,25,4.3,"1,514",6,33,Acana,Garden,Extra Large Envelope,FBA,19.10 x 4.70 x 8.50 cm,0.32,#2,"Jan 14, 2021",,No,64,Acana
48.,Pest Expert Carpet Moth Killer Spray 2 x 1ltr - Formula 'C+' Advanced Fast Acting Carpet & Clothes Moth Killer Treatment – Professional Strength Insect Killer for Carpets & Wardrobes,B011V6QRJY,Killer Spray,https://www.amazon.co.uk/dp/B011V6QRJY?psc=1,https://m.media-amazon.com/images/I/716ZxhsxvML._AC_SY355_.jpg,Pest Expert,25.4,"1,128","1,128",700,"24,756.88","24,756.74",182,"1,335",GB,8.49,1,4.5,"1,378",5,7,pestcontrolsupermarket,Garden,Small Parcel,MFN,28.10 x 11.40 x 16.10 cm,2.28,N/A,"Jul 21, 2015",,No,130,pestcontrolsupermarket
45.,Entopest 10-Pack Clothes Moth Monitoring Traps – Refill for Room & Wardrobe Hanger Units – For Detection of Tineola bisselliella,B01N7Z3GZL,Physical Trap,https://www.amazon.co.uk/dp/B01N7Z3GZL?psc=1,https://m.media-amazon.com/images/I/71E-y5sI2BL._AC_SY355_.jpg,Entopest,13.87,"3,262","2,138","1,000","49,636.6","23,556.21",128,270,GB,3.23,2,4.3,"2,884",7,19,Fort Products,Garden,Small Envelope,FBA,17.80 x 0.70 x 6.80 cm,0.03,N/A,"Apr 22, 2017",,No,109,Fort Products
46.,5-Pack Clothes Moth Killer Hangers for Wardrobes: Clothes Moth Killer | Contains Transfluthrin | Moth Protection for Wardrobes and Drawers | Up to 3 Months Protection per Hanger | Lavender-Scented,B0DT4JFK49,Killer Spray,https://www.amazon.co.uk/dp/B0DT4JFK49?psc=1,https://m.media-amazon.com/images/I/71E0zB0OWoL._AC_SY355_.jpg,Ready Steady Gro,16.19,"3,862","1,814","1,000","63,436.75","22,475.11",196,161,GB,2.76,2,4.2,"1,093",7,22,Ready Steady Defend UK,Garden,Standard Envelope,FBA,15.50 x 2.40 x 11.60 cm,0.06,N/A,"Feb 1, 2022",,No,51,Ready Steady Defend UK
57.,"Zero In AMZ436 Moth Balls 10 Pack x2, Mulicolour",B08XKFCSWL,Killer Spray,https://www.amazon.co.uk/dp/B08XKFCSWL?psc=1,https://m.media-amazon.com/images/I/81mG7R20ZfL._AC_SY355_.jpg,Zero In,6.97,"3,955","3,955",N/A,"20,190.34","20,187.35",48,"2,980",AMZ,4.09,6,4.3,836,7,42,Amazon,Garden,Extra Large Envelope,AMZ,24.00 x 4.20 x 13.90 cm,0.16,N/A,"Feb 25, 2021",,No,63,Amazon
16.,"Acana Carpet & Fabric Freshener 500 Millilitre - Moth Killer Spray - Lavender Fragrance - for Carpets, Rugs & Curtains - Non-Staining (Packaging May Vary)",B09922RZN4,Killer Spray,https://www.amazon.co.uk/dp/B09922RZN4?psc=1,https://m.media-amazon.com/images/I/7155MRAGqCL._AC_SY355_.jpg,Acana,15.59,"1,471","1,471",500,"20,015.37","20,009.23",154,"1,025",GB,4.55,18,4.4,287,6,3,Acana,Garden,Extra Large Envelope,FBA,25.70 x 5.70 x 10.00 cm,0.57,N/A,"Jul 27, 2020",,No,70,Acana
