"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
54.,"Eurax Itch Relief Cream, Hydrating Relief from Itchy & Irritated Skin, Alleviates Itching from Rashes, Eczema, Dermatitis & Chickenpox, Dermatologist Recommended, Contains Crotamiton, 1 x 30g","B001RYOSM4","https://www.amazon.co.uk/dp/B001RYOSM4?psc=1","https://m.media-amazon.com/images/I/411DRQXlGSL._AC_SX355_.jpg","Eurax",2.92,"13,379",956,"2,000","79,254.11","3,343.32",191,51,"AMZ",3.46,14,4.5,"15,595",6,82,"Amazon","Pet Supplies","Large Envelope","AMZ","13.40 x 3.10 x 3.70 cm",0.04,"N/A","Feb 9, 2009",,"No",209,"Amazon"
55.,"Ultra Bee 100% Natural Exeskin Dry Itchy Skin and Scalp Balm Suitable for People Prone to Eczema, Psoriasis, Dermatitis.100ml","B00L2INI6M","https://www.amazon.co.uk/dp/B00L2INI6M?psc=1","https://m.media-amazon.com/images/I/51LsgksNVUL._AC_SY355_.jpg","Ultra Bee",16.62,626,626,600,"12,494.3","12,494.29",125,"7,088","GB",5.99,1,4.2,"1,907",11,49,"Ultra Bee","Beauty","Extra Large Envelope","MFN","7.00 x 4.90 x 5.00 cm",0.11,"N/A","Jun 17, 2014",,"No",145,"Ultra Bee"
56.,"QV Cream with 10% Glycerin (500g) Rich Protective Moisturiser for Sensitive, Dry Skin, Fragrance Free, Noncomedogenic Body Cream, Hydrating Skin Care for Eczema, Psoriasis, Dermatitis, Pump Bottle","B006WZQK60","https://www.amazon.co.uk/dp/B006WZQK60?psc=1","https://m.media-amazon.com/images/I/51pMtmvkgiL._AC_SY355_.jpg","QV",8.32,"5,464","2,736","2,000","66,599.16","30,396.48",196,663,"AMZ",4.76,8,4.6,"5,964",2,52,"Amazon","Beauty","Small Parcel","AMZ","18.60 x 8.30 x 8.30 cm",0.57,"N/A","Jun 1, 2012",,"No",169,"Amazon"
57.,"Herbal Antifungal Treatment Cream for Skin: Gentle Plant-Based Formula Suitable for Athletes Foot, Ringworm, Jock Itch, Tinea Versicolor & Seborrheic Dermatitis-Prone Skin","B0GZQ8SV65","https://www.amazon.co.uk/dp/B0GZQ8SV65?psc=1","https://m.media-amazon.com/images/I/71b6nqzNhPL._AC_SY355_.jpg","Kopa Haiku",8.32,"1,272","1,272","1,000","18,095.1","18,095.12",171,"2,604","CN",3.19,2,4.8,96,7,14,"FreshLui","Health & Personal Care","Extra Large Envelope","FBA","5.30 x 4.20 x 5.20 cm",0.11,"N/A","Jan 16, 2026",,"No",6,"FreshLui"
58.,"Zerobase Emollient Cream 500g - Pack of 2","B0174SDNOK","https://www.amazon.co.uk/dp/B0174SDNOK?psc=1","https://m.media-amazon.com/images/I/61l32zd7GpL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","Zerobase",16.66,"1,086","1,086",800,"20,661.68","20,661.67",41,"4,307","GB",6.21,18,4.8,834,1,1,"HealthCare - EU","Beauty","Small Parcel","MFN","22.50 x 8.10 x 17.09 cm",1.24,"N/A","Oct 25, 2015",,"No",129,"HealthCare - EU"
59.,"Dermatitis Treatment Cream, Scalp Psoriasis Moisturizing Cream, Seborrheic Dermatitis Scalp Treatment Face Cream, Seborrheic Keratosis Removal, for All Skin Types","B0GFHB917X","https://www.amazon.co.uk/dp/B0GFHB917X?psc=1","https://m.media-amazon.com/images/I/71O0SWko5YL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","PGonline",5.82,69,69,50,481.18,481.17,162,"55,468","CN",3.27,1,3.5,5,6,3,"PGonline","Beauty","Small Parcel","FBA","6.70 x 6.30 x 6.70 cm",0.13,"N/A","Jan 8, 2026",,"No",6,"PGonline"
60.,"Advanced Seborrheic Dermatitis Face Cream by HAIRO RELIEF | 100ml cream for seborrheic dermatitis","B0CYS1Y58T","https://www.amazon.co.uk/dp/B0CYS1Y58T?psc=1","https://m.media-amazon.com/images/I/61+TfWx8BXL._AC_SY355_.jpg","HAIR O",19.99,100,100,50,"2,007.12","2,007.14",97,"35,008","GB",6.51,1,4.2,94,6,0,"Visit the HAIROBODY Store","Beauty","Large Envelope","FBA","13.20 x 3.40 x 3.60 cm",0.11,"N/A","Mar 21, 2024",,"No",28,"Visit the HAIROBODY Store"
61.,"iShanCare® Eczema Cream, Maximum Strength Treatment Ointment for Psoriasis, Dermatitis, Rash, Infection, Jock Itch, Athletes Foot, Anti Itch, Relief for Redness, Irritated Skin, 1.77 Oz","B0CRCYMMLM","https://www.amazon.co.uk/dp/B0CRCYMMLM?psc=1","https://m.media-amazon.com/images/I/61bImrRKaLL._AC_SY355_.jpg","ishancare",15.99,252,206,100,"4,526.73","3,295.77",185,"12,805","CN",5.57,1,4.1,165,7,4,"iShanCare","Health & Personal Care","Large Envelope","FBA","14.10 x 3.40 x 4.60 cm",0.07,"N/A","Jan 3, 2024",,"No",30,"iShanCare"
62.,"Cetraben Dermatological Emollient Cream, Dry or Chapped Skin, SLS and Paraben Free, Fragrance Free, 500 g","B003BK69BA","https://www.amazon.co.uk/dp/B003BK69BA?psc=1","https://m.media-amazon.com/images/I/51tsQHJg54L._AC_SY355_.jpg","Cetraben",10.24,"2,115","1,580","1,000","32,089.31","18,606.18",105,"2,233","AMZ",5.61,13,4.7,"4,460",4,10,,"Beauty","Small Parcel","AMZ","29.11 x 8.38 x 19.71 cm",0.56,"N/A","Jun 8, 2009",,"No",205,
63.,"DermoTIS Sulphur 7% Cream for Oily, Acne, Seborrheic Skin Care, Removes Skin Seborrheic Scales, Exfoliating Properties, Face and Body , Unisex","B07N31BJY9","https://www.amazon.co.uk/dp/B07N31BJY9?psc=1","https://m.media-amazon.com/images/I/51j-uOeDSgL._AC_SY355_.jpg","TIS farmaceutic",8.32,143,143,100,"1,425.46","1,425.47",142,"17,713","RO",4.24,1,4.2,686,7,4,"Ultra Effective","Beauty","Extra Large Envelope","FBA","11.90 x 4.20 x 4.20 cm",0.06,"N/A","Jan 24, 2019",,"No",90,"Ultra Effective"
