"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
43.,"Head & Shoulders Itchy Scalp 2in1 Anti-Dandruff Shampoo and Conditioner 625ml.Works Against Dandruff, Oil and Itch From the 1st Wash. Dandruff Free + Moisturised Hair. Gentle Clean Feeling","B0FXLW2QQW","https://www.amazon.co.uk/dp/B0FXLW2QQW?psc=1","https://m.media-amazon.com/images/I/71q6IRHNQIL._AC_SY355_.jpg","Head & Shoulders",5.26,376,376,300,"2,398.91","2,398.9",188,"7,793","AMZ",3.19,2,4.5,50,10,3,"Amazon","Beauty","Extra Large Envelope","AMZ","25.10 x 5.10 x 22.40 cm",0.7,"N/A","Oct 24, 2025",,"No",8,"Amazon"
44.,"Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (250ml) With 3% Salicylic Acid, Suitable for Those Prone to Scalp Psoriasis and Seborrhoeic Dermatitis, Packaging may vary","B0DSGCJSZF","https://www.amazon.co.uk/dp/B0DSGCJSZF?psc=1","https://m.media-amazon.com/images/I/61n55bAXRZL._AC_SY355_.jpg","Neutrogena",5.62,"13,718","13,718","10,000","104,974.99","104,975.02",174,136,"AMZ",3.06,10,4.5,"1,900",6,134,"Amazon","Beauty","Large Envelope","AMZ","17.90 x 3.70 x 7.00 cm",0.31,"N/A","Dec 1, 2024",,"No",18,"Amazon"
45.,"L’Oréal Professionnel Scalp Advanced Anti-Discomfort Shampoo, For Itchy and Dry Scalps, Deep Scalp Treatment","B0BQMYDXDH","https://www.amazon.co.uk/dp/B0BQMYDXDH?psc=1","https://m.media-amazon.com/images/I/51mz9+ev-pL._AC_SX342_.jpg","L'Oréal Professionnel Paris",12.94,490,408,300,"8,203.78","6,122.6",108,"8,474","GB",5.31,13,4.4,622,6,7,"Hobcart","Beauty","Extra Large Envelope","FBA","14.20 x 5.80 x 6.00 cm",0.35,"N/A","Feb 22, 2023",,"No",40,"Hobcart"
46.,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinically Proven to Control Itchy & Flaky Scalps, Contains Ketoconazole, 1 x 100ml","B0DQV8G9HR","https://www.amazon.co.uk/dp/B0DQV8G9HR?psc=1","https://m.media-amazon.com/images/I/71a7CQJ4ZmL._AC_SY355_.jpg","Nizoral",8.12,"24,857","24,857","20,000","242,102.96","242,102.93",154,35,"AMZ",4.22,7,4.6,"1,445",9,149,"Amazon","Beauty","Extra Large Envelope","AMZ","15.00 x 4.20 x 6.90 cm",0.1,"N/A","Dec 18, 2024",,"No",18,"Amazon"
47.,"Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (150ml) With 3% Salicylic Acid, Suitable for Those Prone to Scalp Psoriasis and Seborrhoeic Dermatitis","B0DW3XJTVJ","https://www.amazon.co.uk/dp/B0DW3XJTVJ?psc=1","https://m.media-amazon.com/images/I/61LO4LbU84L._AC_SY355_.jpg","Neutrogena",4.68,"6,863","6,863","5,000","41,180.23","41,180.23",154,71,"AMZ",2.94,13,4.5,821,6,66,"Amazon","Baby Products","Large Envelope","AMZ","16.00 x 3.40 x 5.60 cm",0.2,"N/A","Nov 25, 2024",,"No",19,"Amazon"
48.,"Seborrheic Dermatitis Folliculitis Acne Shampoo: Psoriasis Treatment & Scalp Anti-Dandruff Shampoo, Dry Scalp & Flake Control — Sulfate-Free, Nourishing","B0GF2878TD","https://www.amazon.co.uk/dp/B0GF2878TD?psc=1","https://m.media-amazon.com/images/I/71nru1FV2OL._AC_SY355_.jpg","Recuren Plus",14.87,146,146,100,"3,506.19","3,506.18",152,"15,695","CN",6.41,2,4.8,77,7,13,"Haina Select","Beauty","Extra Large Envelope","FBA","21.70 x 5.40 x 5.60 cm",0.35,"N/A","Jan 5, 2026",,"No",5,"Haina Select"
49.,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinically Proven to Control Itchy & Flaky Scalps, Contains Ketoconazole, 1 x 60ml","B001ETUD5I","https://www.amazon.co.uk/dp/B001ETUD5I?psc=1","https://m.media-amazon.com/images/I/71qKCWaWJGL._AC_SY355_.jpg","Nizoral",5.82,"22,754","22,769","10,000","150,269.81","150,375.91",153,"1,238","AMZ",2.94,18,4.6,"31,572",9,72,"Amazon","Beauty","Large Envelope","AMZ","14.10 x 2.90 x 5.70 cm",0.09,"N/A","Aug 25, 2008",,"No",214,"Amazon"
50.,"Head & Shoulders Itchy Scalp Care with Eucalyptus Anti-Dandruff Shampoo 13.5 Fl Oz (Pack of 2)","B0043OYFJQ","https://www.amazon.co.uk/dp/B0043OYFJQ?psc=1","https://m.media-amazon.com/images/I/71gqQpGjCwL._SX342_.jpg","Head & Shoulders",10.68,160,160,100,"1,965.83","1,965.85",94,"20,202","GB",4.79,16,4.5,"8,401",4,3,"customerscome1st","Beauty","Extra Large Envelope","FBA","22.70 x 4.80 x 17.50 cm",0.91,"N/A","Aug 13, 2012",,"No",166,"customerscome1st"
51.,"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, Itchy, Dry, Oily Scalps | Cleansing Scalp Care | Hair Shampoo that Hydrates, Soothes and Calms | 75ml","B01LWNR8HZ","https://www.amazon.co.uk/dp/B01LWNR8HZ?psc=1","https://m.media-amazon.com/images/I/511dAv+0ZQL._AC_SY355_.jpg","Philip Kingsley",11.65,"1,065",618,300,"29,155.35","8,796.35",180,"4,398","GB",4.86,2,4.3,"1,540",6,4,"Philip Kingsley","Beauty","Large Envelope","FBA","13.40 x 3.40 x 4.90 cm",0.09,"N/A","Oct 1, 2013",,"No",152,"Philip Kingsley"
52.,"Eucerin DermoCapillaire Calming Urea Shampoo 250ml, Psoriasis and Dermatitis Shampoo for Dry, Itchy Scalp, Fragrance-Free, Moisturising with Urea, Lactate, Paraben- and Silicon-Free","B009P0V9UQ","https://www.amazon.co.uk/dp/B009P0V9UQ?psc=1","https://m.media-amazon.com/images/I/6176baICuVL._AC_SY355_.jpg","Eucerin",8.33,"2,161","2,250","1,000","23,775.26","24,753.89",181,"2,117","AMZ",5.16,25,4.5,"1,852",6,5,,"Beauty","Large Envelope","AMZ","19.30 x 3.00 x 6.90 cm",0.3,"N/A","Oct 11, 2012",,"No",164,
53.,"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, Itchy, Dry, Oily Scalps | Cleansing Scalp Care | Hair Shampoo that Hydrates, Soothes and Calms | 250ml","B000GI3UGW","https://www.amazon.co.uk/dp/B000GI3UGW?psc=1","https://m.media-amazon.com/images/I/51oMBmy5jzL._AC_SY355_.jpg","Philip Kingsley",26.67,"1,065",283,300,"29,155.35","9,069.41",181,"4,398","GB",8.6,1,4.3,"1,540",6,4,"Philip Kingsley","Beauty","Small Parcel","FBA","15.80 x 7.10 x 7.30 cm",0.28,"N/A","Dec 4, 2006",,"No",234,"Philip Kingsley"
54.,"Seborrheic Dermatitis & Folliculitis Scalp Shampoo: For Scalp Prone to Dandruff & Psoriasis – Soothes Itchy, Flaky Scalp – with Tea Tree, Rosemary, Biotin & Caffeine – Sulphate-Free 280ml","B0FV8KHQJ2","https://www.amazon.co.uk/dp/B0FV8KHQJ2?psc=1","https://m.media-amazon.com/images/I/71E9jxzkvjL._AC_SY355_.jpg","Swiftalyn",24.99,298,298,200,"7,017.16","7,017.16",187,"N/A","CN",7.48,2,4.4,68,7,0,"Steady Roots",,"Extra Large Envelope","FBA","17.90 x 4.40 x 8.00 cm",0.38,"N/A","Oct 8, 2025",,"No",8,"Steady Roots"
55.,"Aveeno Skin Relief Soothing Shampoo, With Soothing Oat, Suitable For very dry sensitive Scalp, Suitable for Thin & Fragile Hair, Soap Free, High Tolerance Formula, 300ml","B017TFCRHC","https://www.amazon.co.uk/dp/B017TFCRHC?psc=1","https://m.media-amazon.com/images/I/51xlwpwxr+L._AC_SY355_.jpg","Aveeno",6.67,"2,818","2,818","2,000","25,599","25,598.98",169,"1,472","AMZ",3.2,10,4.5,"4,874",6,7,"Amazon","Beauty","Extra Large Envelope","AMZ","17.30 x 4.10 x 8.30 cm",0.37,"N/A","Nov 10, 2015",,"No",127,"Amazon"
56.,"Oilatum Soothing Scalp Shampoo, For Itchy, Flaking Scalps Caused by Dandruff, Soothes Itchy Scalps, pH Balanced, 1 x 100ml","B001EASOJY","https://www.amazon.co.uk/dp/B001EASOJY?psc=1","https://m.media-amazon.com/images/I/61sGB4pc9KL._AC_SY355_.jpg","Oilatum",8.66,"1,889","1,889","1,000","19,624.25","19,624.23",122,"3,198","AMZ",4.3,9,4.6,"1,530",7,5,"Amazon","Beauty","Large Envelope","AMZ","15.30 x 3.20 x 7.20 cm",0.14,"N/A","Aug 14, 2008",,"No",214,"Amazon"
57.,"Vosene Anti-dandruff shampoo 300ml, reduces dandruff and scalp itch; suitable for daily use","B097CKD7N9","https://www.amazon.co.uk/dp/B097CKD7N9?psc=1","https://m.media-amazon.com/images/I/51CG7LIea4L._AC_SY355_.jpg","Vosene",1.16,"5,494","5,406","4,000","8,310.63","7,877.63",91,570,"AMZ",2.71,15,4.5,"2,040",5,18,"Amazon","Beauty","Large Envelope","AMZ","19.30 x 3.80 x 6.76 cm",0.34,"N/A","Jun 16, 2021",,"No",60,"Amazon"
58.,"The Body Shop Ginger Anti-Dandruff Shampoo (1x 250ml), Clarifying Shampoo for Dry, Itchy and Flaky Scalp, Vegan Haircare, Suitable for Sensitive Scalps","B0DLKXPB3X","https://www.amazon.co.uk/dp/B0DLKXPB3X?psc=1","https://m.media-amazon.com/images/I/718HtWV+JpL._AC_SY355_.jpg","The Body Shop",10,"8,025","2,849","2,000","115,113.73","31,392.8",151,473,"GB",4.78,2,4.6,"2,621",6,63,"The Body Shop UK","Beauty","Extra Large Envelope","FBA","13.40 x 5.20 x 5.30 cm",0.29,"N/A","Nov 22, 2024",,"No",19,"The Body Shop UK"
59.,"Neutrogena T/Gel 2 in 1 Anti-Dandruff Shampoo and Conditioner (1x 250ml), Shampoo and Conditioner to Help Fight Dandruff From First Wash, Haircare for Soft, Shiny Healthy-Looking Hair and Scalp","B07N1FF7CS","https://www.amazon.co.uk/dp/B07N1FF7CS?psc=1","https://m.media-amazon.com/images/I/71zlDE-lQ6L._AC_SY355_.jpg","Neutrogena",5,"5,878","4,480","3,000","40,775.19","30,285.16",193,540,"AMZ",2.97,15,4.6,"5,942",5,46,"Amazon","Beauty","Large Envelope","AMZ","18.20 x 3.70 x 6.80 cm",0.31,"N/A","Jan 22, 2019",,"No",89,"Amazon"
60.,"Milva Itchy Scalp Shampoo with Propolis - 200ml Honey Bee Soothing Shampoo for Irritated & Dry Scalp - Itchy Scalp Treatment & Anti Dandruff Solution - Strengthens, Prevents Breakage & Protect Hair","B00CQM1B8U","https://www.amazon.co.uk/dp/B00CQM1B8U?psc=1","https://m.media-amazon.com/images/I/71So7UUvjsL._AC_SY355_.jpg","Milva",5.53,194,97,50,"1,726.19",755.13,197,"19,032","GB",3.85,1,4,533,9,18,"VS TRADE SOLUTIONS","Beauty","Large Envelope","FBA","15.19 x 3.91 x 6.50 cm",0.23,"N/A","May 11, 2013",,"No",157,"VS TRADE SOLUTIONS"
61.,"MooGoo Milk Shampoo - For Itchy, Dry, Sensitive Scalps Prone to Eczema & Psoriasis – Sulphate-Free, Silicone-Free, Paraben-Free - Natural Gentle Formula – 500 ml","B00NJRTVFG","https://www.amazon.co.uk/dp/B00NJRTVFG?psc=1","https://m.media-amazon.com/images/I/61HWUPDa32L._AC_SY355_.jpg","MooGoo",11.25,"1,473","1,473","1,000","19,883.72","19,883.75",161,"3,511","GB",5.12,2,4.4,746,9,7,"MooGoo EU Ltd","Beauty","Small Parcel","FBA","17.30 x 7.80 x 8.20 cm",0.58,"N/A","Feb 29, 2016",,"No",124,"MooGoo EU Ltd"
62.,"Philip Kingsley | Flaky/Itchy Scalp Shampoo | Anit-Dandruff Shampoo For Flaky, Itchy, Dry, Oily Scalps | Cleansing Scalp Care | Hair Shampoo that Hydrates, Soothes and Calms | 1000ml","B01M5HM4RV","https://www.amazon.co.uk/dp/B01M5HM4RV?psc=1","https://m.media-amazon.com/images/I/519jEYA9ZtL._AC_SY355_.jpg","Philip Kingsley",70,"1,065",83,50,"29,155.35","6,883.47",182,"4,398","GB",15.7,1,4.3,"1,540",6,4,"Philip Kingsley","Beauty","Small Parcel","FBA","24.90 x 8.90 x 9.10 cm",1.07,"N/A","Feb 20, 2009",,"No",208,"Philip Kingsley"
