"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
52.,"Folliculitis & Seborrheic Dermatitis Shampoo – Anti-Dandruff, Psoriasis & Itchy Scalp Treatment – Soothes Redness, Flaking & Irritation","B0FGGTST5H","https://www.amazon.co.uk/dp/B0FGGTST5H?psc=1","https://m.media-amazon.com/images/I/71IqBcDgPuL._AC_SY355_.jpg","PHARMBANNER",17.41,"3,940","3,033","2,000","85,713.66","66,029.45",135,"1,071","US",6.28,2,4.4,"1,524",8,42,"PHARMBANNER Store","Beauty","Extra Large Envelope","FBA","17.70 x 5.50 x 5.60 cm",0.31,"N/A","Jul 2, 2025",,"No",11,"PHARMBANNER Store"
53.,"Aveeno Scalp Soothing Haircare Volumising Shampoo, Fresh Green Blend, with Colloidal Oat Extract, for Fine Hair, Soothes Dry, Itchy & Flaky Scalp, pH Balanaced, Clinically Proven, 300ml","B0BQSZ1LZM","https://www.amazon.co.uk/dp/B0BQSZ1LZM?psc=1","https://m.media-amazon.com/images/I/61oJehkIGGL._AC_SY355_.jpg","Aveeno",3.98,"2,787","2,787","2,000","15,218.23","15,218.24",185,"1,353","AMZ",2.9,9,4.5,"1,308",11,13,"Amazon","Beauty","Extra Large Envelope","AMZ","17.50 x 4.10 x 7.90 cm",0.34,"N/A","Feb 1, 2023",,"No",40,"Amazon"
54.,"Vichy Dercos Technique Anti-Dandruff Purifying Shampoo, With 1% Salicylic Acid & Selenium Disulfide, For Sensitive Dry Hair & Scalp, Removes Visible Flakes, 390ml","B01BPHAD1W","https://www.amazon.co.uk/dp/B01BPHAD1W?psc=1","https://m.media-amazon.com/images/I/51YUyXCW9wL._AC_SX342_.jpg","VICHY",21.5,600,600,400,"9,121.92","9,121.91",162,"3,369","AMZ",6.21,1,4.7,"3,614",6,134,"Amazon","Beauty","Extra Large Envelope","AMZ","20.00 x 6.00 x 6.10 cm",0.45,"N/A","Feb 12, 2016",,"No",124,"Amazon"
55.,"Vichy Dercos Anti-Dandruff Shampoo for Sensitive Scalp With Piroctone Olamine, Salicylic Acid, Bisabolol, Sulphate-Free Gentle Formula, Skin Health Alliance Approved, 200ml","B009USALZM","https://www.amazon.co.uk/dp/B009USALZM?psc=1","https://m.media-amazon.com/images/I/713oY0evJuL._AC_SX342_.jpg",,11.62,195,195,100,"2,150.22","2,150.23",172,"8,527","AMZ",4.72,1,4.4,"2,596",7,37,"Amazon","Beauty","Extra Large Envelope","AMZ","17.30 x 4.90 x 5.20 cm",0.24,"N/A","Oct 10, 2012",,"No",164,"Amazon"
56.,"Aveeno Scalp Soothing Haircare Colour Protect Shampoo, Blackberry & Quinoa Blend, for Colour Treated Hair, Soothes Dry, Itchy & Flaky Scalp, Clinically Proven, Sulfate Free, 300ml","B0BQTX44S5","https://www.amazon.co.uk/dp/B0BQTX44S5?psc=1","https://m.media-amazon.com/images/I/61vK2-V-LdL._AC_SY355_.jpg","Aveeno",3.98,"5,157","3,803","3,000","28,320.17","20,895.16",179,562,"AMZ",3.13,6,4.6,962,12,21,"Amazon","Beauty","Extra Large Envelope","AMZ","17.40 x 4.20 x 8.30 cm",0.35,"N/A","Feb 1, 2023",,"No",40,"Amazon"
57.,"OGX Biotin and Collagen Volumising Hair Shampoo, Thick and Full, with Vitamin B7 Biotin, and Collagen, for Fine Hair, Sulfate Free Surfactants, 385ml","B00MXZJ362","https://www.amazon.co.uk/dp/B00MXZJ362?psc=1","https://m.media-amazon.com/images/I/71VDbVnTQML._AC_SY355_.jpg","OGX",3.33,"14,393","9,708","7,000","73,743.84","40,663.03",149,176,"AMZ",3.05,9,4.4,"24,532",8,140,"Amazon","Beauty","Extra Large Envelope","AMZ","14.60 x 5.60 x 8.00 cm",0.44,"N/A","Aug 22, 2014",,"No",142,"Amazon"
58.,"Dove scalp + hair therapy Density & Growth¹ Shampoo hair care with Amino Complex, Zinc and Biotin for up to 90% less hair fall 400 ml","B0G3X3837T","https://www.amazon.co.uk/dp/B0G3X3837T?psc=1","https://m.media-amazon.com/images/I/61NnXzoBIVL._AC_SY355_.jpg","Dove",2.77,"6,967","3,640","3,000","31,475.33","17,966.47",133,655,"AMZ",3.01,2,4.6,139,6,33,"Amazon","Beauty","Extra Large Envelope","AMZ","21.70 x 4.60 x 7.20 cm",0.46,"N/A","Jan 25, 2026",,"No",5,"Amazon"
59.,"Batiste Sensitive Scalp Fragance Free Dry Shampoo, Dermatologically Tested, Kind to Scalp, No Rinse Shampoo Hair Spray, Gentle Lightweight Formula for Refreshed Hair, 200ml","B0DQL9D819","https://www.amazon.co.uk/dp/B0DQL9D819?psc=1","https://m.media-amazon.com/images/I/61NtB2+RjsL._AC_SY355_.jpg","Batiste",1.8,"2,299","2,320","2,000","6,361.79","6,421.73",172,"1,625","AMZ",2.81,2,4.6,490,5,23,"Amazon","Beauty","Extra Large Envelope","AMZ","21.70 x 4.10 x 4.20 cm",0.18,"N/A","Dec 16, 2024",,"No",18,"Amazon"
60.,"ATTITUDE Extra Gentle Hair Shampoo for Sensitive Dry Scalp, EWG Verified, Soothing Oat, For Thin Hair, Naturally Derived Ingredients, Vegan and Plant-Based, Unscented, 473 mL","B07NF994VJ","https://www.amazon.co.uk/dp/B07NF994VJ?psc=1","https://m.media-amazon.com/images/I/61+D5V4lTyL._AC_SY355_.jpg","ATTITUDE",14.2,26,26,"N/A",516.45,516.46,174,"56,110","AMZ",6.47,3,4.4,"1,577",6,0,"Amazon","Beauty","Extra Large Envelope","AMZ","22.00 x 4.39 x 7.49 cm",0.55,"N/A","May 22, 2019",,"No",85,"Amazon"
61.,"Neutrogena T/Gel Anti Dandruff Shampoo for Oily Scalp and Hair (1x 250ml), Daily Anti-Dandruff Shampoo with Salicylic Acid to Remove Excess Oils from First Wash","B07N1DQ9QW","https://www.amazon.co.uk/dp/B07N1DQ9QW?psc=1","https://m.media-amazon.com/images/I/71mj1s8Q55L._AC_SY355_.jpg","Neutrogena",5,"4,260","4,260","3,000","30,198.32","30,198.32",160,779,"AMZ",2.97,10,4.6,"3,100",6,40,"Amazon","Beauty","Large Envelope","AMZ","18.00 x 3.80 x 6.90 cm",0.31,"N/A","May 22, 2019",,"No",85,"Amazon"
62.,"Wella Professionals Invigo Scalp Balance Sensitive Scalp Shampoo","B0CH8K7R2R","https://www.amazon.co.uk/dp/B0CH8K7R2R?psc=1","https://m.media-amazon.com/images/I/410z2+KRcRL._AC_SX342_.jpg","Wella Professionals",11.47,34,34,"N/A",472.59,472.6,64,"117,606","GB",5.01,3,4.6,133,1,6,"ToolsForBeautyLTD","Beauty","Extra Large Envelope","FBA","14.70 x 5.70 x 5.80 cm",0.34,"N/A","Sep 22, 2023",,"No",33,"ToolsForBeautyLTD"
63.,"Uriage DS Hair Soft Shampoo with Edelweiss 500ml - Deeply Purifies & Soothes - Leaves Hair Soft & Shiny - Fresh & Floral Scent - Everyday Wash - Suitable for Sensitive & Irritated Scalps - Soap-Free","B0849VSLYK","https://www.amazon.co.uk/dp/B0849VSLYK?psc=1","https://m.media-amazon.com/images/I/61VeO2UqBTL._AC_SY355_.jpg","Uriage",13.67,242,163,100,"3,506.19","2,720.8",198,"13,979","GB",5.55,13,4.6,"1,348",6,25,"Uriage UK","Beauty","Small Parcel","FBA","20.40 x 6.30 x 6.40 cm",0.57,"N/A","Jan 23, 2020",,"No",77,"Uriage UK"
64.,"Charles Worthington Scalp Restore Clarifying Shampoo – Deep Cleansing for Sensitive Scalps, Removes Build-Up for Healthy Hair, 250ml","B0GF7NQR53","https://www.amazon.co.uk/dp/B0GF7NQR53?psc=1","https://m.media-amazon.com/images/I/61buBOqw3aL._AC_SY355_.jpg","Charles Worthington",7.84,126,56,50,"1,526.91",553.16,132,"15,286","AMZ",4.19,1,4.8,9,6,1,"Amazon","Beauty","Extra Large Envelope","AMZ","19.40 x 4.70 x 7.10 cm",0.28,"N/A","Jan 6, 2026",,"No",5,"Amazon"
65.,"Redken Amino Mint Scalp Relief Shampoo For Oily Scalps, Purifying Cleanser Formulated With Amino Acids To Soothe The Scalp And Nourish Dry Lengths, 300ml","B09LYWXD3Q","https://www.amazon.co.uk/dp/B09LYWXD3Q?psc=1","https://m.media-amazon.com/images/I/5187r+3XKML._AC_SX342_.jpg","Redken",13.65,"4,544","4,544","2,000","86,344.89","86,344.89",153,"1,537","AMZ",5.82,12,4.4,"2,716",6,50,"Amazon","Beauty","Extra Large Envelope","AMZ","17.40 x 5.60 x 7.10 cm",0.35,"N/A","Jan 14, 2022",,"No",53,"Amazon"
66.,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinically Proven to Control Itchy & Flaky Scalps, Contains Ketoconazole, 1 x 100ml","B0DQV8G9HR","https://www.amazon.co.uk/dp/B0DQV8G9HR?psc=1","https://m.media-amazon.com/images/I/71a7CQJ4ZmL._AC_SY355_.jpg","Nizoral",8.12,"24,857","24,857","20,000","242,102.96","242,102.93",154,35,"AMZ",4.22,7,4.6,"1,445",9,149,"Amazon","Beauty","Extra Large Envelope","AMZ","15.00 x 4.20 x 6.90 cm",0.1,"N/A","Dec 18, 2024",,"No",18,"Amazon"
67.,"Vichy Dercos Anti-Dandruff Dermatological Shampoo for Dry Hair & Sensitive Scalp, with Salicylic Acid & Selenium Sulfide, 200ml, Soothes Itchiness & Nourishes.","B00VTQXCAE","https://www.amazon.co.uk/dp/B00VTQXCAE?psc=1","https://m.media-amazon.com/images/I/41EUHaCZ0nL._AC_SX342_.jpg",,11.62,"2,772","2,772","2,000","32,036.09","32,036.08",159,"3,193","AMZ",4.72,1,4.6,"6,896",1,131,"Amazon","Beauty","Extra Large Envelope","AMZ","17.40 x 5.20 x 5.50 cm",0.24,"N/A","May 8, 2008",,"No",217,"Amazon"
68.,"Batiste Sensitive Scalp Lightly Scented Dry Shampoo, Dermatologically Tested, Kind to Scalp, No Rinse Shampoo Hair Spray, Gentle Lightweight Formula for Refreshed Hair, Infused with Aloe Vera, 200ml","B0DQLB23B8","https://www.amazon.co.uk/dp/B0DQLB23B8?psc=1","https://m.media-amazon.com/images/I/61m0EM-3yOL._AC_SY355_.jpg","Batiste",1.8,"3,662","3,701","3,000","9,743.5","9,820.78",198,"1,433","AMZ",3.56,3,4.5,372,6,13,"Amazon","Beauty","Extra Large Envelope","AMZ","21.70 x 4.10 x 4.20 cm",0.16,"N/A","Dec 16, 2024",,"No",18,"Amazon"
69.,"Eco Warrior Sensitive Shampoo Bar, 100g | Natural, Vegan, Cruelty Free, Eco Friendly, No SLS or Parabens | Deeply Nourishing White Clay & Clary Sage Oil | Soothing Mint Eucalyptus Essential Oils","B094PY38BL","https://www.amazon.co.uk/dp/B094PY38BL?psc=1","https://m.media-amazon.com/images/I/81YTsKmRKgL._AC_SY355_.jpg","Little Soap Company",3.62,"2,842",846,500,"13,049.37","3,573.28",194,"1,066","AMZ",2.81,1,4.2,237,10,5,"Amazon","Beauty","Large Envelope","AMZ","8.80 x 3.40 x 5.90 cm",0.11,"N/A","Sep 7, 2020",,"No",69,"Amazon"
