Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
15,Eucerin DermoCapillaire Urea Kopfhautberuhigendes Shampoo 250 ml,B0090Y79SS,Irritated / Atopic,https://www.amazon.de/dp/B0090Y79SS?psc=1,https://m.media-amazon.com/images/I/419oo797GSL._SX342_.jpg,Eucerin,12.98,"1,900","1,900","1,000","27,110.04","27,110.07",64,577,AMZ,6.39,7,4.6,"1,450",6,32,Amazon,Kosmetik,Large Envelope,AMZ,19.20 x 3.10 x 6.90 cm,0.3,N/A,"Aug 21, 2012",,No,166,Amazon
29,"STIEPROXAL Shampoo - Fights Stubborn, Firm Dandruff and Strong Itching, 100 ml",B003SCE7FQ,Irritated / Atopic,https://www.amazon.de/dp/B003SCE7FQ?psc=1,https://m.media-amazon.com/images/I/519Soi25lAL._AC_SY355_.jpg,STIEPROX,12.09,"1,744","1,744","1,000","25,068.71","25,068.72",78,839,AMZ,4.98,17,4.4,"2,183",6,16,Amazon,Beauty,Large Envelope,AMZ,15.00 x 3.20 x 6.80 cm,0.14,N/A,"Jun 16, 2010",,No,192,Amazon
45,"head & shoulders Citrus Fresh 2-in-1 Anti-Dandruff Shampoo for Oily Hair, 800 ml Pump Dispenser; Up to 100% Dandruff Protection, Fresh Citrus Fragrance",B0CR1LG363,Irritated / Atopic,https://www.amazon.de/dp/B0CR1LG363?psc=1,https://m.media-amazon.com/images/I/71pm4bF3EzL._SY355_.jpg,Head & Shoulders,9.24,"1,886","1,705","1,000","24,357.82","21,072.19",151,"1,701",AMZ,5.09,3,4.6,"11,904",9,89,Amazon,Beauty,Small Parcel,AMZ,24.10 x 6.40 x 9.40 cm,0.9,N/A,"Feb 2, 2024",,No,28,Amazon
39,Wella Professionals Wella Ultimate Repair Shampoo - Deep Cleansing Shampoo with Metal Purifier Technology - Repairing Moisturising Shampoo,B0C49XMYH5,,https://www.amazon.de/dp/B0C49XMYH5?psc=1,https://m.media-amazon.com/images/I/61SUrJZgKNL._SX342_.jpg,Wella Professionals,14.4,"1,873","1,141",800,"41,951.69","19,254.24",138,497,AMZ,7.05,26,4.5,"1,881",11,149,,Beauty,Extra Large Envelope,AMZ,14.60 x 5.10 x 5.30 cm,0.29,N/A,"Oct 1, 2023",,No,32,
57,"Head & Shoulders DERMAXPRO Beruhigendes Anti-Schuppen Shampoo 2x250 ml Kopfhautpflege bei trockener, juckender Kopfhaut (verbunden mit Schuppen) – Mit Kaktus-Extrakt, aktiver Aloe & Vitamin E",B0CR1K45P3,Irritated / Atopic,https://www.amazon.de/dp/B0CR1K45P3?psc=1,https://m.media-amazon.com/images/I/714KCFgXm0L._SY355_.jpg,Head & Shoulders,14.18,"2,353","1,742","1,000","24,032.42","18,620.73",191,870,AMZ,5.43,2,4.6,831,6,21,Amazon,Kosmetik,Extra Large Envelope,AMZ,19.60 x 6.00 x 7.70 cm,0.58,N/A,"Feb 2, 2024",,No,28,Amazon
37,"Garnier Wahre Schätze Beruhigendes Shampoo Sanfte Hafermilch XXL, beruhigend und feuchtigkeitsspendend, für empfindliches Haar und sensible Kopfhaut, Maxi Format, 1000 ml",B0BWFL7K64,Irritated / Atopic,https://www.amazon.de/dp/B0BWFL7K64?psc=1,https://m.media-amazon.com/images/I/81dTV4CY72L._SY355_.jpg,Garnier,5.34,"2,590","2,590","1,000","17,997.42","17,997.42",170,455,AMZ,4.01,2,4.7,842,6,17,Amazon,Kosmetik,Small Parcel,AMZ,22.70 x 7.10 x 18.70 cm,1.04,N/A,"Feb 21, 2023",,No,40,Amazon
14,"La Roche-Posay Kerium Extrem Mild, Kopfhautschonendes Gel-Shampoo, Silikonfreies Shampoo mit besänftigender Geltextur für glänzende und geschmeidige Haare, Für Kinder und Erwachsene geeignet, 400 ml",B00IVIMVFK,Irritated / Atopic,https://www.amazon.de/dp/B00IVIMVFK?psc=1,https://m.media-amazon.com/images/I/61jaJXdFQJL._SX342_.jpg,La Roche-Posay,16.69,"1,060","1,060",600,"17,678.53","17,678.51",198,"2,386",AMZ,6.94,1,4.6,"2,609",1,55,Amazon,Kosmetik,Small Parcel,AMZ,19.70 x 6.30 x 6.40 cm,0.47,N/A,"Jun 4, 2008",,No,216,Amazon
33,"Vichy Dercos Psolution Pflegeshampoo: Beruhigendes Pflegeshampoo mit 5 % Urea gegen trockene juckende Kopfhaut – für empfindliche Kopfhaut geeignet, 200 ml",B09GRM5X73,Irritated / Atopic,https://www.amazon.de/dp/B09GRM5X73?psc=1,https://m.media-amazon.com/images/I/71eSJ++kWuL._SY355_.jpg,VICHY,16.29,"1,040","1,040",500,"17,312.78","17,312.79",155,"2,168",AMZ,5.91,1,4.5,"1,309",8,279,Amazon,Kosmetik,Extra Large Envelope,AMZ,17.30 x 4.90 x 4.90 cm,0.25,N/A,"Sep 21, 2021",,No,57,Amazon
6,"Shampoo, Treatment and Prevention of Dandruff and Seborrheic Dermatitis, Effective Against Itching, With Dexpanthenol as a Nourishing Additive, Permanently Useable. 120 ml",B0BQCZ4QGQ,Irritated / Atopic,https://www.amazon.de/dp/B0BQCZ4QGQ?psc=1,https://m.media-amazon.com/images/I/71QvRdg-90L._SX355_.jpg,KETOconazol Klinge,12.97,"1,048","1,048",N/A,"16,527.03","16,527.02",171,"475,392",DE,N/A,9,4.4,111,8,0,CuraVendi - Die Bonus-Apotheke,Beauty,N/A,MFN,N/A,N/A,N/A,"Dec 16, 2022",,No,42,CuraVendi - Die Bonus-Apotheke
56.1.,"Sebamed 5% Urea Anti-Juckreiz Shampoo 200 ml, bei trockener Kopfhaut, sanfte seifenfreie Reinigung, lindert spürbar Juckreiz der trockene Kopfhaut, spendet Feuchtigkeit, Shampoo für Damen und Herren",B0FCY7DQBG,Irritated / Atopic,https://www.amazon.de/dp/B0FCY7DQBG?psc=1,https://m.media-amazon.com/images/I/516g+WeYhxL._SX342_.jpg,Sebamed,4.53,"3,013","3,013","2,000","16,152.70","16,152.72",198,402,AMZ,3.51,13,4.5,381,4,35,Amazon,Kosmetik,Extra Large Envelope,AMZ,16.50 x 4.50 x 6.40 cm,0.24,N/A,"Jun 12, 2025",,No,12,Amazon
